date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:27	278239/278239	---MCZ	200	added ('OK')	application/javascript	etag:%2243edf-50e5a61ba5440%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/js/bundled/application.js?ver=1.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/js/bundled/application5152.js	(from http://maze.umbrella.al/)
12:16:28	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont78ce.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/font-awesome.min.css?ver=4.8)
12:16:37	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont.eot?	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfontd41d.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/font-awesome.min.css?ver=4.8)
12:16:39	65452/65452	---M--	200	added ('OK')	application/x-font-woff	etag:%22ffac-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont78ce.woff	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/font-awesome.min.css?ver=4.8)
12:16:43	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%224611f-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont78ce.svg	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/font-awesome.min.css?ver=4.8)
12:16:47	16304/16304	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223fb0-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.eot	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:16:50	16304/16304	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223fb0-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.eot?	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10d41d.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:16:53	7712/7712	---M--	200	added ('OK')	application/x-font-woff	etag:%221e20-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.woff	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.woff	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:16:56	16104/16104	---M--	200	added ('OK')	application/x-font-ttf	etag:%223ee8-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.ttf	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.ttf	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:16:57	112160/112160	---M--	200	added ('OK')	application/x-font-ttf	etag:%221b620-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/fonts/fontawesome-webfont78ce.ttf	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/font-awesome.min.css?ver=4.8)
12:16:57	34229/34229	---M--	200	added ('OK')	image/svg+xml	etag:%2285b5-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.svg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-arrows-10.svg	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:17:01	595122/595122	---M--	200	added ('OK')	image/png	etag:%22914b2-50d91497e8280%22	http://maze.umbrella.al/wp-content/uploads/2015/01/dribnew-760x570.png	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/dribnew-760x570.png	(from http://maze.umbrella.al/)
12:17:01	12260/12260	---M--	200	added ('OK')	application/x-font-woff	etag:%222fe4-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.woff	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.woff	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:17:01	21478/21478	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2253e6-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.eot	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:17:03	47869/47869	---M--	200	added ('OK')	image/svg+xml	etag:%22bafd-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.svg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.svg	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:17:06	21478/21478	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2253e6-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.eot?	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10d41d.eot	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
12:17:07	21284/21284	---M--	200	added ('OK')	application/x-font-ttf	etag:%225324-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.ttf	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/css/fonts/linea-basic-10.ttf	(from http://maze.umbrella.al/wp-content/themes/umbrellam/assets/css/linea.css?ver=4.8)
